"id_estacao","ip_mikrotik","nome","longitude","latitude","codigo_estacao_interno","codigo_estacao_parceiro"
251,"10.192.10.251",PCD Rancho Queimado,-49.0127,-27.674,DCSC-00152,DCSC-00152
254,"10.192.10.254",PCD Antônio Carlos,-48.7586,-27.5128,DCSC-00155,DCSC-00155
257,"0.0.0.0",PCD Angelina,-49.1252,-27.5299,DCSC-00158,DCSC-00158
255,"10.192.10.255",PCD Nova Trento - Aguti,-49.1219,-27.3198,DCSC-00156,DCSC-00156
225,"10.192.10.225",PCD - São João do Sul,-49.8117,-29.2232,DCSC-00141,DCSC-00141
232,"10.192.10.232",PCD São José do Cedro,-53.5023,-26.4532,DCSC-00148,DCSC-00148
233,"10.192.10.233",PCD Paraíso,-53.6728,-26.6188,DCSC-00149,DCSC-00149
266,"0.0.0.0",PCD Teste MKS Sistemas 02,-49.090543,-26.8899407,ESTACAO-TESTE-MKS-02,ESTACAO-TESTE-MKS-02
253,"10.192.10.253",PCD Morro Grande,-49.7141,-28.8003,DCSC-00154,DCSC-00154
258,"0.0.0.0",PCD Penha,-48.6463,-26.7849,DCSC-00159,DCSC-00159
304,"0.0.0.0",PCD Camboriú 2,-48.636123,-27.006465,DCSC-00160,DCSC-00160
256,"0.0.0.0",PCD - Nova Trento,-48.9706,-27.2965,DCSC-00157,DCSC-00157
252,"10.192.10.252",PCD Santa Terezinha/Itaiópolis,-26.6021,-49.9101,DCSC-00153,DCSC-00153
235,"10.192.10.235",PCD Grão Pará,-49.3329,-28.1376,DCSC-00151,DCSC-00151
390,"0.0.0.0",PCD Barra Velha,0.0,0.0,DCSC-00168,DCSC-00168
391,"0.0.0.0",PCD Iraceminha/Descanso,0.0,0.0,DCSC-00169,DCSC-00169
392,"0.0.0.0",PCD Paulo Lopes,0.0,0.0,DCSC-00170,DCSC-00170
393,"0.0.0.0",PCD Taió - Barragem Jusante,0.0,0.0,DCSC-00171,DCSC-00171
4,"10.192.10.4",PCD Ascurra,-49.372938,-26.96136,DCSC-00003,DCSC-00003
6,"10.192.10.6",PCD Benedito Novo,-49.365328,-26.781943,DCSC-00004,DCSC-00004
8,"10.192.10.8",PCD Indaial,-49.269935,-26.910662,DCSC-00006,DCSC-00006
9,"10.192.10.9",PCD Pomerode,-49.175757,-26.732771,DCSC-00007,DCSC-00007
10,"10.192.10.10",PCD Aurora,-49.639846,-27.357299,DCSC-00008,DCSC-00008
11,"10.192.10.11",PCD Itaiópolis,-49.822424,-26.571453,DCSC-00009,DCSC-00009
12,"10.192.10.12",PCD Rio do Campo,-50.155023,-26.896052,DCSC-00010,DCSC-00010
13,"10.192.10.13",PCD Rio dos Cedros,-49.272685,-26.740014,DCSC-00011,DCSC-00011
14,"10.192.10.14",PCD Rio dos Cedros DC - 12,-49.476668,-26.597748,DCSC-00012,DCSC-00012
15,"10.192.10.15",PCD Rio do Sul,-49.633501,-27.207221,DCSC-00013,DCSC-00013
16,"10.192.10.16",PCD Trombudo Central,-49.8114,-27.27482,DCSC-00014,DCSC-00014
17,"10.192.10.17",PCD Trombudo Central,-49.839573,-26.915739,DCSC-00015,DCSC-00015
18,"10.192.10.18",PCD Alfredo Wagner,-49.639846,-27.357299,DCSC-00016,DCSC-00016
